"Dataset_ID","Latitude","Longitude","Reconstruction","Simulation"
537,-16.35,-68.0417,0.428571428571429,0
538,48.4075,-89.3467,0.272727272727273,0
539,36.79913,-91.09,0.2,0
540,-0.76553,-47.8559,0.6,0
543,44.65,-110.6,0.0526315789473684,0.0526315789473684
547,0.266667,-66.6833,0,0
549,54.88333,-69.4,0,0.0714285714285714
550,46.59167,-122.25,0.333333333333333,0
672,43.24126,-80.3674,0,0
673,44.03333,-71.8333,0,0.0434782608695652
675,54.41,-69.92,0.166666666666667,0
677,54.42361,-69.9297,0,0.0714285714285714
678,62.05,-118.7,0,0.235294117647059
679,43.48,-85,0,0
682,57.03333,124.1167,0.16,0.04
684,43.4178,-89.7321,0,0
688,60.99,-69.95,0.333333333333333,0.25
691,48.91083,-66.125,0.0434782608695652,0.217391304347826
693,37,-119.083,0.285714285714286,0
699,36.58333,-76.45,0.315789473684211,0.0526315789473684
701,43.95,-110.23,0.181818181818182,0
715,67.75673,-178.842,0,0
719,40.02417,-107.051,0.217391304347826,0
720,70.32584,31.02587,0.0454545454545455,0.0909090909090909
723,48.75,28.25,0,0
772,41.9327,-70.0005,0.08,0
773,45.85,-70.35,0,0.0625
776,44.16667,-71.6667,0,0
777,53.23333,-58.55,0.35,0.2
778,57.75,-112.09,0.0384615384615385,0.269230769230769
782,46.40833,-62.15,0.105263157894737,0
784,40.81806,21.9525,0,0.136363636363636
785,44.36,-80.25,0.0625,0.09375
788,51.79,60.73,0.296296296296296,0.037037037037037
790,39.93667,-105.58,0.222222222222222,0
791,67.41667,172.0833,0,0
792,62.08333,149,0.4,0
796,44.07,-110.31,0.19047619047619,0
799,67.43333,172.1667,0,0
801,68.25,166,0.333333333333333,0
802,61.24444,-100.951,0,0
803,61.16667,-100.917,0,0
804,59,78.33333,0.3,0.15
805,41.92,-82.76,0.0357142857142857,0.107142857142857
808,48.35194,-123.682,0.222222222222222,0.0740740740740741
811,68.12,-156.07,0.5,0.3
813,41.19616,-81.3348,0,0
816,37,-119.833,0.545454545454545,0.0909090909090909
818,43.96667,-110.433,0.714285714285714,0.214285714285714
820,58.86694,-71.7169,0,0
821,45.28278,-72.9828,0.153846153846154,0
823,45.41,-79.39,0,0.12
828,34.40556,-95.8083,0.666666666666667,0
829,56.25,-121.42,0,0
834,54.74222,-101.682,0.15,0
835,44.55,-107.467,0.375,0
841,43.47121,-109.939,0,0
843,43.43889,-109.95,0.166666666666667,0
847,42.33,-83.61,0,0.133333333333333
849,49.58596,-93.7445,0.269230769230769,0.153846153846154
850,44.94577,-94.4207,0,0
852,41.16,-71.58,0.0454545454545455,0.0454545454545455
853,38.61,-111.67,0.294117647058824,0
856,48.22,-84.93,0.526315789473684,0
857,46.27583,-73.4758,0,0
858,43.28333,40.26667,0,0
860,44.05,-87.73,0,0.09375
866,63.38333,147.65,0.333333333333333,0
867,49.66667,31.83333,0.111111111111111,0
871,45.94583,-74.3708,0,0.0740740740740741
872,-24.6667,-50.2167,0.347826086956522,0.0434782608695652
873,41.37709,-75.0932,0,0
876,55,83.33333,0.590909090909091,0.136363636363636
878,49.448,-99.2897,0.142857142857143,0.0714285714285714
880,59.75,149.9167,1,0
966,43.65,-122.042,0.363636363636364,0
968,61.11,152.26,0.285714285714286,0.714285714285714
969,31.72111,-86.1342,0.5,0.3
971,44.99,-69.32,0.0689655172413793,0.0689655172413793
973,45.19,-77.36,0.142857142857143,0.214285714285714
974,53,-98.25,0.25,0
976,52.25,-67.0667,0.285714285714286,0.142857142857143
977,63.70291,8.689085,0.0869565217391304,0.0434782608695652
978,55.03333,-62.6333,0,0.0666666666666667
982,44.88,-85.13,0,0.208333333333333
986,43.64,-79.47,0,0
