"Timeslice_younger","BIO","Value","Source"
"1.5","BIO17",0.910651627348423,"Pnon-growing state"
"1.5","BIO19",0.959308403583117,"Pnon-growing state"
"2","BIO14",0.949807537012906,"Pnon-growing state"
"2","BIO17",0.960728529889991,"Pnon-growing state"
"2","BIO19",0.90460101913978,"Pnon-growing state"
"2.5","BIO14",0.95824998336419,"Pnon-growing state"
"2.5","BIO17",0.977493735728669,"Pnon-growing state"
"2.5","BIO19",0.91538838114104,"Pnon-growing state"
"3","BIO14",0.93405172185546,"Pnon-growing state"
"3","BIO17",1,"Pnon-growing state"
"3","BIO19",0.907246468998863,"Pnon-growing state"
"3.5","BIO14",0.871938178887414,"Pnon-growing state"
"3.5","BIO17",0.944478459380977,"Pnon-growing state"
"3.5","BIO19",0.952124249765196,"Pnon-growing state"
"4","BIO14",0.856188005554353,"Pnon-growing state"
"4","BIO17",0.878283535727509,"Pnon-growing state"
"4","BIO19",0.98176839446184,"Pnon-growing state"
"4.5","BIO14",0.866082078903311,"Pnon-growing state"
"4.5","BIO17",0.898860248680442,"Pnon-growing state"
"4.5","BIO19",0.959045858016237,"Pnon-growing state"
"5","BIO14",0.850577493495166,"Pnon-growing state"
"5","BIO17",0.901791418076719,"Pnon-growing state"
"5","BIO19",0.913748721954798,"Pnon-growing state"
"5.5","BIO14",0.871446314838622,"Pnon-growing state"
"5.5","BIO17",0.926047309278637,"Pnon-growing state"
"5.5","BIO19",0.795579677947086,"Pnon-growing state"
"6","BIO14",0.836430016699333,"Pnon-growing state"
"6","BIO17",0.872877932994622,"Pnon-growing state"
"6","BIO19",0.814141084739764,"Pnon-growing state"
"6.5","BIO14",0.859877583676481,"Pnon-growing state"
"6.5","BIO17",0.886812099005542,"Pnon-growing state"
"6.5","BIO19",0.824211419859845,"Pnon-growing state"
"7","BIO14",0.907951696964326,"Pnon-growing state"
"7","BIO17",0.936384945423516,"Pnon-growing state"
"7","BIO19",0.783085739393664,"Pnon-growing state"
"7.5","BIO14",0.785956546012107,"Pnon-growing state"
"7.5","BIO17",0.839665603497163,"Pnon-growing state"
"7.5","BIO19",0.735590684609473,"Pnon-growing state"
"8","BIO14",0.750576274266861,"Pnon-growing state"
"8","BIO17",0.742690031236202,"Pnon-growing state"
"8","BIO19",0.642292029972006,"Pnon-growing state"
"8.5","BIO14",0.732837504832671,"Pnon-growing state"
"8.5","BIO17",0.706915021335593,"Pnon-growing state"
"8.5","BIO19",0.613858040580393,"Pnon-growing state"
