"Longitude","Latitude","Biome"
-7.5,16.7001177,"6"
-3.75,16.7001177,"7"
0,12.9889886,"5"
3.75,12.9889886,"5"
7.5,12.9889886,"5"
11.25,12.9889886,"5"
15,12.9889886,"5"
18.75,12.9889886,"5"
22.5,12.9889886,"5"
26.25,12.9889886,"5"
30,12.9889886,"5"
33.75,12.9889886,"5"
37.5,12.9889886,"5"
75,12.9889886,"1"
97.5,12.9889886,"1"
101.25,12.9889886,"1"
105,12.9889886,"1"
-86.25,12.9889886,"1"
-15,12.9889886,"5"
-11.25,12.9889886,"5"
-7.5,12.9889886,"5"
-3.75,12.9889886,"5"
0,9.27785325,"1"
3.75,9.27785325,"5"
7.5,9.27785325,"5"
11.25,9.27785325,"5"
15,9.27785325,"5"
18.75,9.27785325,"5"
22.5,9.27785325,"5"
26.25,9.27785325,"5"
30,9.27785325,"5"
33.75,9.27785325,"5"
37.5,9.27785325,"5"
41.25,9.27785325,"5"
45,9.27785325,"5"
-75,9.27785325,"1"
-71.25,9.27785325,"5"
-67.5,9.27785325,"5"
-63.75,9.27785325,"1"
-11.25,9.27785325,"1"
-7.5,9.27785325,"1"
-3.75,9.27785325,"5"
7.5,5.56671363,"1"
11.25,5.56671363,"5"
15,5.56671363,"5"
18.75,5.56671363,"5"
22.5,5.56671363,"5"
26.25,5.56671363,"5"
30,5.56671363,"5"
33.75,5.56671363,"5"
37.5,5.56671363,"5"
41.25,5.56671363,"5"
45,5.56671363,"5"
-78.75,5.56671363,"1"
-75,5.56671363,"1"
-71.25,5.56671363,"5"
-67.5,5.56671363,"1"
-63.75,5.56671363,"1"
-60,5.56671363,"1"
-56.25,5.56671363,"1"
-7.5,5.56671363,"1"
-3.75,5.56671363,"1"
11.25,1.85557149,"1"
15,1.85557149,"1"
18.75,1.85557149,"1"
22.5,1.85557149,"1"
26.25,1.85557149,"1"
30,1.85557149,"5"
33.75,1.85557149,"5"
37.5,1.85557149,"6"
41.25,1.85557149,"5"
97.5,1.85557149,"1"
108.75,1.85557149,"1"
112.5,1.85557149,"1"
-78.75,1.85557149,"1"
-75,1.85557149,"1"
-71.25,1.85557149,"1"
-67.5,1.85557149,"1"
-63.75,1.85557149,"1"
-60,1.85557149,"1"
-56.25,1.85557149,"1"
-52.5,1.85557149,"1"
11.25,-1.85557149,"1"
15,-1.85557149,"1"
18.75,-1.85557149,"1"
22.5,-1.85557149,"1"
26.25,-1.85557149,"1"
30,-1.85557149,"5"
33.75,-1.85557149,"5"
37.5,-1.85557149,"5"
101.25,-1.85557149,"1"
108.75,-1.85557149,"1"
112.5,-1.85557149,"1"
-78.75,-1.85557149,"1"
-75,-1.85557149,"1"
-71.25,-1.85557149,"1"
-67.5,-1.85557149,"1"
-63.75,-1.85557149,"1"
-60,-1.85557149,"1"
-56.25,-1.85557149,"1"
-52.5,-1.85557149,"1"
-48.75,-1.85557149,"1"
11.25,-5.56671363,"1"
15,-5.56671363,"1"
18.75,-5.56671363,"1"
22.5,-5.56671363,"1"
26.25,-5.56671363,"1"
30,-5.56671363,"1"
33.75,-5.56671363,"5"
138.75,-5.56671363,"1"
142.5,-5.56671363,"1"
-78.75,-5.56671363,"1"
-75,-5.56671363,"1"
-71.25,-5.56671363,"1"
-67.5,-5.56671363,"1"
-63.75,-5.56671363,"1"
-60,-5.56671363,"1"
-56.25,-5.56671363,"1"
-52.5,-5.56671363,"1"
-48.75,-5.56671363,"5"
-45,-5.56671363,"5"
-41.25,-5.56671363,"5"
15,-9.27785325,"1"
18.75,-9.27785325,"1"
22.5,-9.27785325,"1"
26.25,-9.27785325,"1"
30,-9.27785325,"5"
33.75,-9.27785325,"5"
37.5,-9.27785325,"5"
-78.75,-9.27785325,"1"
-75,-9.27785325,"1"
-71.25,-9.27785325,"1"
-67.5,-9.27785325,"1"
-63.75,-9.27785325,"1"
-60,-9.27785325,"1"
-56.25,-9.27785325,"1"
-52.5,-9.27785325,"1"
-48.75,-9.27785325,"5"
-45,-9.27785325,"5"
-41.25,-9.27785325,"5"
15,-12.9889886,"1"
18.75,-12.9889886,"1"
22.5,-12.9889886,"1"
26.25,-12.9889886,"1"
30,-12.9889886,"5"
33.75,-12.9889886,"5"
37.5,-12.9889886,"5"
131.25,-12.9889886,"5"
-75,-12.9889886,"6"
-71.25,-12.9889886,"1"
-67.5,-12.9889886,"1"
-63.75,-12.9889886,"1"
-60,-12.9889886,"1"
-56.25,-12.9889886,"1"
-52.5,-12.9889886,"5"
-48.75,-12.9889886,"5"
-45,-12.9889886,"5"
-41.25,-12.9889886,"1"
11.25,-16.7001177,"6"
15,-16.7001177,"5"
18.75,-16.7001177,"5"
22.5,-16.7001177,"5"
26.25,-16.7001177,"5"
30,-16.7001177,"5"
33.75,-16.7001177,"5"
45,-16.7001177,"5"
123.75,-16.7001177,"6"
127.5,-16.7001177,"6"
131.25,-16.7001177,"5"
135,-16.7001177,"5"
142.5,-16.7001177,"5"
-71.25,-16.7001177,"6"
-67.5,-16.7001177,"1"
-63.75,-16.7001177,"1"
-60,-16.7001177,"5"
-56.25,-16.7001177,"5"
-52.5,-16.7001177,"1"
-48.75,-16.7001177,"5"
-45,-16.7001177,"1"
-41.25,-16.7001177,"1"
15,-20.4112384,"6"
18.75,-20.4112384,"6"
22.5,-20.4112384,"5"
26.25,-20.4112384,"5"
30,-20.4112384,"5"
45,-20.4112384,"5"
120,-20.4112384,"5"
123.75,-20.4112384,"5"
127.5,-20.4112384,"6"
131.25,-20.4112384,"6"
135,-20.4112384,"6"
138.75,-20.4112384,"6"
142.5,-20.4112384,"5"
146.25,-20.4112384,"5"
-71.25,-20.4112384,"7"
-67.5,-20.4112384,"6"
-63.75,-20.4112384,"1"
-60,-20.4112384,"5"
-56.25,-20.4112384,"5"
-52.5,-20.4112384,"1"
-48.75,-20.4112384,"1"
-45,-20.4112384,"1"
15,-24.1223483,"6"
18.75,-24.1223483,"6"
22.5,-24.1223483,"5"
26.25,-24.1223483,"5"
30,-24.1223483,"5"
112.5,-24.1223483,"6"
116.25,-24.1223483,"6"
120,-24.1223483,"6"
