"Longitude","Latitude","Timeslice","Biome"
-120,42.677604675293,0.1,3
-116.25,42.677604675293,0.1,3
-112.5,42.677604675293,0.1,3
-108.75,42.677604675293,0.1,6
-105,42.677604675293,0.1,3
-101.25,42.677604675293,0.1,3
-97.5,42.677604675293,0.1,3
-93.75,42.677604675293,0.1,3
-90,42.677604675293,0.1,3
-86.25,42.677604675293,0.1,3
-82.5,42.677604675293,0.1,3
-78.75,42.677604675293,0.1,3
-75,42.677604675293,0.1,3
-71.25,42.677604675293,0.1,3
-7.5,42.677604675293,0.1,6
-3.75,42.677604675293,0.1,3
15,38.966609954834,0.1,7
22.5,38.966609954834,0.1,7
30,38.966609954834,0.1,6
33.75,38.966609954834,0.1,6
37.5,38.966609954834,0.1,6
41.25,38.966609954834,0.1,6
45,38.966609954834,0.1,6
48.75,38.966609954834,0.1,7
56.25,38.966609954834,0.1,7
60,38.966609954834,0.1,7
63.75,38.966609954834,0.1,6
67.5,38.966609954834,0.1,6
71.25,38.966609954834,0.1,3
75,38.966609954834,0.1,6
78.75,38.966609954834,0.1,8
82.5,38.966609954834,0.1,8
86.25,38.966609954834,0.1,8
90,38.966609954834,0.1,8
93.75,38.966609954834,0.1,6
